,Run,Model,Groups,Adapter method,Subject / Task
101,"legalbench:subset=corporate_lobbying,model=cohere_command",cohere/command,legalbench,generation,-
102,"legalbench:subset=corporate_lobbying,model=cohere_command-light",cohere/command-light,legalbench,generation,-
103,"legalbench:subset=corporate_lobbying,model=google_text-bison@001",google/text-bison@001,legalbench,generation,-
104,"legalbench:subset=corporate_lobbying,model=google_text-unicorn@001",google/text-unicorn@001,legalbench,generation,-
105,"legalbench:subset=corporate_lobbying,model=meta_llama-2-13b",meta/llama-2-13b,legalbench,generation,-
106,"legalbench:subset=corporate_lobbying,model=meta_llama-2-70b",meta/llama-2-70b,legalbench,generation,-
107,"legalbench:subset=corporate_lobbying,model=meta_llama-2-7b",meta/llama-2-7b,legalbench,generation,-
108,"legalbench:subset=corporate_lobbying,model=meta_llama-65b",meta/llama-65b,legalbench,generation,-
109,"legalbench:subset=corporate_lobbying,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,legalbench,generation,-
110,"legalbench:subset=corporate_lobbying,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,legalbench,generation,-
111,"legalbench:subset=corporate_lobbying,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,legalbench,generation,-
112,"legalbench:subset=corporate_lobbying,model=openai_gpt-4-0613",openai/gpt-4-0613,legalbench,generation,-
113,"legalbench:subset=corporate_lobbying,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,legalbench,generation,-
114,"legalbench:subset=corporate_lobbying,model=openai_text-davinci-002",openai/text-davinci-002,legalbench,generation,-
115,"legalbench:subset=corporate_lobbying,model=openai_text-davinci-003",openai/text-davinci-003,legalbench,generation,-
116,"legalbench:subset=corporate_lobbying,model=tiiuae_falcon-40b",tiiuae/falcon-40b,legalbench,generation,-
117,"legalbench:subset=corporate_lobbying,model=tiiuae_falcon-7b",tiiuae/falcon-7b,legalbench,generation,-
118,"legalbench:subset=corporate_lobbying,model=writer_palmyra-x-v2",writer/palmyra-x-v2,legalbench,generation,-
119,"legalbench:subset=corporate_lobbying,model=writer_palmyra-x-v3",writer/palmyra-x-v3,legalbench,generation,-
120,"legalbench:subset=function_of_decision_section,model=01-ai_yi-34b",01-ai/yi-34b,legalbench,generation,-
121,"legalbench:subset=function_of_decision_section,model=01-ai_yi-6b",01-ai/yi-6b,legalbench,generation,-
122,"legalbench:subset=function_of_decision_section,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,legalbench,generation,-
123,"legalbench:subset=function_of_decision_section,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,legalbench,generation,-
124,"legalbench:subset=function_of_decision_section,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,legalbench,generation,-
125,"legalbench:subset=function_of_decision_section,model=ai21_j2-grande",ai21/j2-grande,legalbench,generation,-
126,"legalbench:subset=function_of_decision_section,model=ai21_j2-jumbo",ai21/j2-jumbo,legalbench,generation,-
127,"legalbench:subset=function_of_decision_section,model=anthropic_claude-2.0",anthropic/claude-2.0,legalbench,generation,-
128,"legalbench:subset=function_of_decision_section,model=anthropic_claude-2.1",anthropic/claude-2.1,legalbench,generation,-
129,"legalbench:subset=function_of_decision_section,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,legalbench,generation,-
130,"legalbench:subset=function_of_decision_section,model=anthropic_claude-v1.3",anthropic/claude-v1.3,legalbench,generation,-
131,"legalbench:subset=function_of_decision_section,model=cohere_command",cohere/command,legalbench,generation,-
132,"legalbench:subset=function_of_decision_section,model=cohere_command-light",cohere/command-light,legalbench,generation,-
133,"legalbench:subset=function_of_decision_section,model=google_text-bison@001",google/text-bison@001,legalbench,generation,-
134,"legalbench:subset=function_of_decision_section,model=google_text-unicorn@001",google/text-unicorn@001,legalbench,generation,-
135,"legalbench:subset=function_of_decision_section,model=meta_llama-2-13b",meta/llama-2-13b,legalbench,generation,-
136,"legalbench:subset=function_of_decision_section,model=meta_llama-2-70b",meta/llama-2-70b,legalbench,generation,-
137,"legalbench:subset=function_of_decision_section,model=meta_llama-2-7b",meta/llama-2-7b,legalbench,generation,-
138,"legalbench:subset=function_of_decision_section,model=meta_llama-65b",meta/llama-65b,legalbench,generation,-
139,"legalbench:subset=function_of_decision_section,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,legalbench,generation,-
140,"legalbench:subset=function_of_decision_section,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,legalbench,generation,-
141,"legalbench:subset=function_of_decision_section,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,legalbench,generation,-
142,"legalbench:subset=function_of_decision_section,model=openai_gpt-4-0613",openai/gpt-4-0613,legalbench,generation,-
143,"legalbench:subset=function_of_decision_section,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,legalbench,generation,-
144,"legalbench:subset=function_of_decision_section,model=openai_text-davinci-002",openai/text-davinci-002,legalbench,generation,-
145,"legalbench:subset=function_of_decision_section,model=openai_text-davinci-003",openai/text-davinci-003,legalbench,generation,-
146,"legalbench:subset=function_of_decision_section,model=tiiuae_falcon-40b",tiiuae/falcon-40b,legalbench,generation,-
147,"legalbench:subset=function_of_decision_section,model=tiiuae_falcon-7b",tiiuae/falcon-7b,legalbench,generation,-
148,"legalbench:subset=function_of_decision_section,model=writer_palmyra-x-v2",writer/palmyra-x-v2,legalbench,generation,-
149,"legalbench:subset=function_of_decision_section,model=writer_palmyra-x-v3",writer/palmyra-x-v3,legalbench,generation,-
150,"legalbench:subset=international_citizenship_questions,model=01-ai_yi-34b",01-ai/yi-34b,legalbench,generation,-
151,"legalbench:subset=international_citizenship_questions,model=01-ai_yi-6b",01-ai/yi-6b,legalbench,generation,-
152,"legalbench:subset=international_citizenship_questions,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,legalbench,generation,-
153,"legalbench:subset=international_citizenship_questions,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,legalbench,generation,-
154,"legalbench:subset=international_citizenship_questions,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,legalbench,generation,-
155,"legalbench:subset=international_citizenship_questions,model=ai21_j2-grande",ai21/j2-grande,legalbench,generation,-
156,"legalbench:subset=international_citizenship_questions,model=ai21_j2-jumbo",ai21/j2-jumbo,legalbench,generation,-
157,"legalbench:subset=international_citizenship_questions,model=anthropic_claude-2.0",anthropic/claude-2.0,legalbench,generation,-
158,"legalbench:subset=international_citizenship_questions,model=anthropic_claude-2.1",anthropic/claude-2.1,legalbench,generation,-
159,"legalbench:subset=international_citizenship_questions,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,legalbench,generation,-
160,"legalbench:subset=international_citizenship_questions,model=anthropic_claude-v1.3",anthropic/claude-v1.3,legalbench,generation,-
161,"legalbench:subset=international_citizenship_questions,model=cohere_command",cohere/command,legalbench,generation,-
162,"legalbench:subset=international_citizenship_questions,model=cohere_command-light",cohere/command-light,legalbench,generation,-
163,"legalbench:subset=international_citizenship_questions,model=google_text-bison@001",google/text-bison@001,legalbench,generation,-
164,"legalbench:subset=international_citizenship_questions,model=google_text-unicorn@001",google/text-unicorn@001,legalbench,generation,-
165,"legalbench:subset=international_citizenship_questions,model=meta_llama-2-13b",meta/llama-2-13b,legalbench,generation,-
166,"legalbench:subset=international_citizenship_questions,model=meta_llama-2-70b",meta/llama-2-70b,legalbench,generation,-
167,"legalbench:subset=international_citizenship_questions,model=meta_llama-2-7b",meta/llama-2-7b,legalbench,generation,-
168,"legalbench:subset=international_citizenship_questions,model=meta_llama-65b",meta/llama-65b,legalbench,generation,-
169,"legalbench:subset=international_citizenship_questions,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,legalbench,generation,-
170,"legalbench:subset=international_citizenship_questions,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,legalbench,generation,-
171,"legalbench:subset=international_citizenship_questions,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,legalbench,generation,-
172,"legalbench:subset=international_citizenship_questions,model=openai_gpt-4-0613",openai/gpt-4-0613,legalbench,generation,-
173,"legalbench:subset=international_citizenship_questions,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,legalbench,generation,-
174,"legalbench:subset=international_citizenship_questions,model=openai_text-davinci-002",openai/text-davinci-002,legalbench,generation,-
175,"legalbench:subset=international_citizenship_questions,model=openai_text-davinci-003",openai/text-davinci-003,legalbench,generation,-
176,"legalbench:subset=international_citizenship_questions,model=tiiuae_falcon-40b",tiiuae/falcon-40b,legalbench,generation,-
177,"legalbench:subset=international_citizenship_questions,model=tiiuae_falcon-7b",tiiuae/falcon-7b,legalbench,generation,-
178,"legalbench:subset=international_citizenship_questions,model=writer_palmyra-x-v2",writer/palmyra-x-v2,legalbench,generation,-
179,"legalbench:subset=international_citizenship_questions,model=writer_palmyra-x-v3",writer/palmyra-x-v3,legalbench,generation,-
180,"legalbench:subset=proa,model=01-ai_yi-34b",01-ai/yi-34b,legalbench,generation,-
181,"legalbench:subset=proa,model=01-ai_yi-6b",01-ai/yi-6b,legalbench,generation,-
182,"legalbench:subset=proa,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,legalbench,generation,-
183,"legalbench:subset=proa,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,legalbench,generation,-
184,"legalbench:subset=proa,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,legalbench,generation,-
185,"legalbench:subset=proa,model=ai21_j2-grande",ai21/j2-grande,legalbench,generation,-
186,"legalbench:subset=proa,model=ai21_j2-jumbo",ai21/j2-jumbo,legalbench,generation,-
187,"legalbench:subset=proa,model=anthropic_claude-2.0",anthropic/claude-2.0,legalbench,generation,-
188,"legalbench:subset=proa,model=anthropic_claude-2.1",anthropic/claude-2.1,legalbench,generation,-
189,"legalbench:subset=proa,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,legalbench,generation,-
190,"legalbench:subset=proa,model=anthropic_claude-v1.3",anthropic/claude-v1.3,legalbench,generation,-
191,"legalbench:subset=proa,model=cohere_command",cohere/command,legalbench,generation,-
192,"legalbench:subset=proa,model=cohere_command-light",cohere/command-light,legalbench,generation,-
193,"legalbench:subset=proa,model=google_text-bison@001",google/text-bison@001,legalbench,generation,-
194,"legalbench:subset=proa,model=google_text-unicorn@001",google/text-unicorn@001,legalbench,generation,-
195,"legalbench:subset=proa,model=meta_llama-2-13b",meta/llama-2-13b,legalbench,generation,-
196,"legalbench:subset=proa,model=meta_llama-2-70b",meta/llama-2-70b,legalbench,generation,-
197,"legalbench:subset=proa,model=meta_llama-2-7b",meta/llama-2-7b,legalbench,generation,-
198,"legalbench:subset=proa,model=meta_llama-65b",meta/llama-65b,legalbench,generation,-
199,"legalbench:subset=proa,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,legalbench,generation,-
200,"legalbench:subset=proa,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,legalbench,generation,-
201,"legalbench:subset=proa,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,legalbench,generation,-
202,"legalbench:subset=proa,model=openai_gpt-4-0613",openai/gpt-4-0613,legalbench,generation,-
203,"legalbench:subset=proa,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,legalbench,generation,-
204,"legalbench:subset=proa,model=openai_text-davinci-002",openai/text-davinci-002,legalbench,generation,-
205,"legalbench:subset=proa,model=openai_text-davinci-003",openai/text-davinci-003,legalbench,generation,-
206,"legalbench:subset=proa,model=tiiuae_falcon-40b",tiiuae/falcon-40b,legalbench,generation,-
207,"legalbench:subset=proa,model=tiiuae_falcon-7b",tiiuae/falcon-7b,legalbench,generation,-
208,"legalbench:subset=proa,model=writer_palmyra-x-v2",writer/palmyra-x-v2,legalbench,generation,-
209,"legalbench:subset=proa,model=writer_palmyra-x-v3",writer/palmyra-x-v3,legalbench,generation,-
210,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-34b",01-ai/yi-34b,math_chain_of_thought,generation,algebra
211,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-6b",01-ai/yi-6b,math_chain_of_thought,generation,algebra
212,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,math_chain_of_thought,generation,algebra
213,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,math_chain_of_thought,generation,algebra
214,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,math_chain_of_thought,generation,algebra
215,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-grande",ai21/j2-grande,math_chain_of_thought,generation,algebra
216,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-jumbo",ai21/j2-jumbo,math_chain_of_thought,generation,algebra
217,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.0",anthropic/claude-2.0,math_chain_of_thought,generation,algebra
218,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.1",anthropic/claude-2.1,math_chain_of_thought,generation,algebra
219,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,math_chain_of_thought,generation,algebra
220,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-v1.3",anthropic/claude-v1.3,math_chain_of_thought,generation,algebra
221,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command",cohere/command,math_chain_of_thought,generation,algebra
222,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command-light",cohere/command-light,math_chain_of_thought,generation,algebra
223,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-bison@001",google/text-bison@001,math_chain_of_thought,generation,algebra
224,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-unicorn@001",google/text-unicorn@001,math_chain_of_thought,generation,algebra
225,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-13b",meta/llama-2-13b,math_chain_of_thought,generation,algebra
226,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-70b",meta/llama-2-70b,math_chain_of_thought,generation,algebra
227,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-7b",meta/llama-2-7b,math_chain_of_thought,generation,algebra
228,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-65b",meta/llama-65b,math_chain_of_thought,generation,algebra
229,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,math_chain_of_thought,generation,algebra
230,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,math_chain_of_thought,generation,algebra
231,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,math_chain_of_thought,generation,algebra
232,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-0613",openai/gpt-4-0613,math_chain_of_thought,generation,algebra
233,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,math_chain_of_thought,generation,algebra
234,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-002",openai/text-davinci-002,math_chain_of_thought,generation,algebra
235,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-003",openai/text-davinci-003,math_chain_of_thought,generation,algebra
