T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,Flagged,MoE
🔶,Weyaxi/Helion-4x34B,75.48,69.71,85.28,77.33,63.91,84.37,72.25,fine-tuned,MixtralForCausalLM,Original,bfloat16,False,other,113.66,5.0,True,583254a5a134243d7793b311c465da12b10a3ff2,False,True
🔶,fblgit/UNA-34Beagles-32K-v1,75.41,73.55,85.93,76.45,73.55,82.95,60.05,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,other,34.39,1.0,False,e02a631564990af3d9c8b0232f979af11cd8b6f6,False,False
🔶,one-man-army/UNA-34Beagles-32K-bf16-v1,75.41,73.55,85.93,76.45,73.55,82.95,60.05,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,other,34.39,7.0,True,d6024b97f624e9169a63f5faccb8c5ab121eb13a,False,False
🔶,Weyaxi/Cosmosis-3x34B,75.39,69.71,85.18,77.25,63.82,84.14,72.25,fine-tuned,MixtralForCausalLM,Original,bfloat16,False,other,87.24,7.0,True,644f20245c08dbbc6baad20100fcf0c8bd3181a0,False,True
🔶,alnrg2arg/test2_4,75.28,73.55,88.87,64.63,69.77,84.45,70.43,fine-tuned,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,False,ed17cf5af87733ffd7836ab99f27991544ba2547,False,False
🔶,Weyaxi/Bagel-Hermes-34B-Slerp,75.24,70.73,85.68,77.29,67.09,84.37,66.26,fine-tuned,LlamaForCausalLM,Original,bfloat16,True,other,34.39,0.0,True,ca42d74d2b7fa947e27305e41c61784f8fe9dafa,False,False
🟦,udkai/Garrulus,75.16,73.29,88.87,64.57,68.23,91.48,64.52,RL-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,10.0,True,cd2fa5c2188588b903fff2070a389db3b24031a4,True,False
🔶,dfurman/HermesBagel-34B-v0.1,75.15,70.56,85.74,77.38,67.34,84.61,65.28,fine-tuned,LlamaForCausalLM,Original,float16,True,apache-2.0,34.39,1.0,True,7364cfc1f2c7fc56d460adc0dc90d7a6d13641fb,False,False
🟦,eren23/slerp-test-turdus-beagle,75.11,73.55,88.85,64.62,69.69,83.9,70.05,RL-tuned,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,f2aef36538bb0c7aab30ffe889e12b72f51a6816,False,False
🔶,xDAN2099/xDAN-L2-moe-2x-v1,75.1,68.52,86.31,76.76,61.77,84.29,72.93,fine-tuned,MixtralForCausalLM,Original,bfloat16,False,cc-by-4.0,60.81,0.0,False,0a137b01142b62fccfcbc81176d40f4b86405958,False,True
🔶,Weyaxi/Bagel-Hermes-2x34b,75.1,69.8,85.26,77.24,64.82,84.77,68.69,fine-tuned,MixtralForCausalLM,Original,bfloat16,False,other,60.81,9.0,True,d187b7bd6757d78bf89aaad8b0b5834ddbf29392,False,True
🔶,sumo43/Yi-34b-x2,75.02,72.87,85.7,76.64,72.1,82.79,60.05,fine-tuned,LlamaForCausalLM,Original,float16,True,mit,34.39,0.0,True,09876944a5d29e7f8e4da1347cd1d8f6f2151444,False,False
🔶,zhengr/MixTAO-7Bx2-MoE-Instruct-v1.0,74.99,74.06,88.25,64.25,69.61,84.29,69.45,fine-tuned,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,12.88,0.0,True,02e3cacbd9a9518289f6101fbcca8f7a875c1dfc,False,True
?,rwitz2/go-bruins-v2.1.1,74.95,72.87,88.33,65.18,69.8,82.24,71.27,,MistralForCausalLM,Original,bfloat16,False,cc,7.24,22.0,True,bd56295eab54eaacbb3af6ecb88b9434d9966d4e,True,False
⭕,NLPinas/yi-bagel-2x34b-moe,74.93,72.7,85.44,76.6,71.42,82.72,60.73,instruction-tuned,LlamaForCausalLM,Original,float16,True,other,34.39,0.0,False,a6de6f3ccb21eeef12a354c720a9a85e5e53433d,False,True
🔶,nfaheem/Marcoroni-7b-DPO-Merge,74.9,73.04,88.8,64.24,70.47,85.24,67.63,fine-tuned,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,1.0,True,e3085d8aacffbf46b95e263bde509fce70577a26,False,False
🔶,quantumaikr/quantum-dpo-v0.1,74.87,72.53,88.37,65.29,69.92,82.32,70.81,fine-tuned,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,2.0,True,09cbfe6569bcdddf623e9990498e9ad07345ad6a,True,False
🔶,jan-hq/trinity-v1,74.8,72.27,88.36,65.2,69.31,82.0,71.65,fine-tuned,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,11.0,True,34974ae99668c381be0871778e3c42958544f70e,True,False
🔶,janai-hq/trinity-v1,74.8,72.27,88.36,65.2,69.31,82.0,71.65,fine-tuned,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,4.0,True,09da1a24f84c96b8c09f2c07038986e28cc24ad5,True,False
🔶,mlabonne/Beagle14-7B,74.76,72.95,87.95,64.7,68.88,82.64,71.42,fine-tuned,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,8.0,True,a5d1b1f831efe38df3b6ac125764a87ed094e282,False,False
🔶,alnrg2arg/test2_3,74.76,72.95,88.42,64.8,68.4,84.14,69.83,fine-tuned,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,e2c681fa4680ee19ca9758a2289da7d168546672,False,False
🔶,GreenNode/GreenNodeLM-v3olet-7B,74.75,72.27,88.25,65.27,69.52,82.48,70.74,fine-tuned,Unknown,Original,float16,False,?,7.0,0.0,True,94b36a4573657d7815f55b917b204e6b73f7a634,True,False
🔶,ignos/LeoScorpius-GreenNode-Alpaca-7B-v1,74.74,72.35,88.16,65.23,69.35,82.32,71.04,fine-tuned,MistralForCausalLM,Original,float16,True,apache-2.0,7.0,0.0,True,00827d42d79b7e10ddfc92c800cbb0636704e379,True,False
🟦,mlabonne/NeuralBeagle14-7B,74.74,72.95,88.34,64.55,69.93,82.4,70.28,RL-tuned,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,39.0,True,33f76dd61715c8fd89f138092a8e8c7f3b3dd905,False,False
🔶,jondurbin/nontoxic-bagel-34b-v0.2,74.69,72.44,85.64,76.41,72.7,82.48,58.45,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,other,34.39,29.0,True,08903c93d929829aabbde2681c7ad2465d7d4189,False,False
⭕,jondurbin/bagel-dpo-34b-v0.2,74.69,71.93,85.25,76.58,70.05,83.35,60.96,instruction-tuned,LlamaForCausalLM,Original,float16,False,other,34.39,69.0,True,fcc6ada5ea6dbf2f644d26b545ac402d2202cc74,False,False
🔶,quantumaikr/quantum-v0.01,74.68,72.53,88.27,65.2,69.28,82.56,70.28,fine-tuned,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,2.0,True,141a76559dace99bea213922c91cd23be8783c72,True,False
🔶,quantumaikr/quantum-trinity-v0.1,74.67,72.53,88.28,65.19,69.28,82.56,70.2,fine-tuned,Unknown,Original,float16,False,?,7.24,0.0,True,4e3eb8c21ff1689a348cc9ffdacd675aff3dde2b,True,False
🔶,moreh/MoMo-70B-LoRA-V1.4,74.67,69.2,85.07,77.12,62.66,83.74,70.2,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,mit,72.29,70.0,True,66bf25995056155b5d0796f7c0981e243bdd48f3,False,False
🔶,ycros/BagelMIsteryTour-8x7B,74.66,72.44,87.5,71.25,74.95,82.0,59.82,fine-tuned,MixtralForCausalLM,Original,bfloat16,True,cc-by-nc-4.0,46.7,0.0,True,e210ea8194895c3429657556b41daaf722fd44a4,False,False
🟦,udkai/Turdus,74.66,73.38,88.56,64.52,67.11,86.66,67.7,RL-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,5.0,True,de8a9fbacf60f07146d7bda3455d3748e12200de,False,False
🔶,shadowml/DareBeagle-7B,74.58,71.67,88.01,65.03,68.98,82.32,71.49,fine-tuned,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,7d5cb3c9ef547ad297d64789b188415e0320237a,False,False
🟦,mncai/mistral-7b-dpo-merge-v1.1,74.53,72.53,88.15,64.83,68.48,82.32,70.89,RL-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,7fc6c09477cc606e91025c38b9963bc47dd396da,True,False
⭕,jeonsworld/CarbonVillain-en-10.7B-v4,74.52,71.25,88.48,66.27,71.95,83.58,65.58,instruction-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-sa-4.0,10.73,5.0,True,904ffe8106a3facbea0d0e61d9a53a525675871e,False,False
🟦,rwitz2/go-bruins-v2.1,74.5,71.93,88.33,65.0,69.16,82.16,70.43,RL-tuned,MistralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,7.24,0.0,True,1e785d545369d201262bcc740ff127bb120d7a6b,True,False
🔶,jondurbin/bagel-dpo-34b-v0.2,74.5,72.01,85.24,76.58,70.16,83.03,59.97,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,other,34.39,69.0,True,fcc6ada5ea6dbf2f644d26b545ac402d2202cc74,False,False
🟦,mncai/mistral-7b-dpo-v6,74.5,72.53,88.1,64.68,68.24,82.56,70.89,RL-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,10.0,True,206be3fd589dd62817343c53525ab7fb1b752faf,True,False
⭕,logicker/SkkuDataScienceGlobal-10.7b,74.5,71.25,88.41,66.31,71.92,83.35,65.73,instruction-tuned,Unknown,Original,float16,False,,10.73,0.0,False,4f5e40b38099084b86fb18b294e4e61e7d20cc7c,False,False
🔶,shadowml/DareBeagel-2x7B,74.49,72.01,88.12,64.51,69.09,82.72,70.51,fine-tuned,MixtralForCausalLM,Original,float16,True,apache-2.0,12.88,0.0,True,5cecd5e1f9723e3f7d287cbc9fd6d42056f73405,False,True
🔶,TomGrc/FusionNet_linear,74.43,71.25,88.44,66.35,71.94,83.27,65.35,fine-tuned,LlamaForCausalLM,Original,float16,True,mit,10.73,7.0,True,a6eba075d53fc4bdbcded071f9bdeb287d1ac260,False,False
🟢,gagan3012/MetaModel_moe,74.42,71.25,88.4,66.26,71.86,83.35,65.43,pretrained,MixtralForCausalLM,Original,float16,True,apache-2.0,36.1,0.0,True,015dae67b68e6e5007b7b13a448886eb5f6bfea8,True,True
⭕,jeonsworld/CarbonVillain-en-10.7B-v2,74.42,71.25,88.4,66.31,71.94,83.35,65.28,instruction-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-sa-4.0,10.73,1.0,True,70b507c12dfe6ce8a7d050be5475fc9684a4929f,False,False
🔶,DopeorNope/SOLARC-M-10.7B,74.42,71.16,88.41,66.31,71.85,83.35,65.43,fine-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-sa-4.0,10.73,7.0,True,fa95c376fdad1670d4125e833322dbf6aeb8f410,True,False
🟢,cloudyu/Mixtral_11Bx2_MoE_19B,74.41,71.16,88.47,66.31,72.0,83.27,65.28,pretrained,MixtralForCausalLM,Original,float16,False,cc-by-nc-4.0,19.19,24.0,True,092208b5bfab866b301545149a6b14fde48a0dd6,True,True
⭕,kekmodel/StopCarbon-10.7B-v5,74.41,70.99,88.48,66.34,71.84,83.58,65.2,instruction-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-sa-4.0,10.73,2.0,True,57966bc616a9db7756488661f4ed16b40ee23780,False,False
⭕,jeonsworld/CarbonVillain-en-10.7B-v3,74.41,70.99,88.48,66.34,71.84,83.58,65.2,instruction-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-sa-4.0,10.73,0.0,True,285436a72c10e0f2b8eb897549350fe40c2e8bbe,False,False
🔶,gagan3012/MetaModel,74.4,71.08,88.45,66.26,71.84,83.43,65.35,fine-tuned,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,10.73,0.0,True,06308e54585a49a01a93c99caa2fb34daf4e7619,False,False
🔶,kyujinpy/Sakura-SOLAR-Instruct,74.4,70.99,88.42,66.33,71.79,83.66,65.2,fine-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-sa-4.0,10.73,26.0,True,cc4531a25fff7cbb146c0e12f2cf4e19189c37a2,False,False
🟢,Xenon1/MetaModel_moex8,74.39,71.16,88.38,66.29,71.91,83.27,65.35,pretrained,MixtralForCausalLM,Original,float16,True,apache-2.0,69.92,2.0,True,333524a8c6ed8415fd48f852e53c405cac82733d,False,True
⭕,gagan3012/MetaModelv3,74.39,71.16,88.39,66.32,71.86,83.35,65.28,instruction-tuned,LlamaForCausalLM,Original,float16,True,apache-2.0,10.73,0.0,True,862f5ca5e66a0b053c14e40c8f16f2c2807b6d92,True,False
🔶,TomGrc/FusionNet,74.38,71.25,88.42,66.36,71.95,83.27,65.05,fine-tuned,LlamaForCausalLM,Original,float16,True,mit,10.73,1.0,True,34421f146e5eb3306a86dd8b67ec938e800ee52e,False,False
🔶,flemmingmiguel/DareBeagle-7B,74.35,71.59,87.98,65.21,68.3,81.93,71.11,fine-tuned,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,53e5b634de4ae9ef8a127c1d7a0c543acfba1b47,False,False
🔶,kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP,74.35,70.99,88.22,66.22,71.95,83.43,65.28,fine-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-4.0,10.73,0.0,True,ea7a7a1c14c4b67bad56dbd08245dbb79dc71ec3,False,False
🔶,DopeorNope/SOLARC-MOE-10.7Bx6,74.35,70.9,88.4,66.36,71.85,83.66,64.9,fine-tuned,MixtralForCausalLM,Original,float16,True,cc-by-nc-sa-4.0,53.01,15.0,True,64c8ef9fa6d9b54b68261d839b656b0dc8717374,False,True
🟦,CultriX/MergeTrix-7B,74.33,72.27,87.84,64.88,66.27,83.5,71.19,RL-tuned,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,3.0,True,d11bd6b388581d2a44c1431a9985e8fc77addd33,False,False
⭕,kekmodel/StopCarbon-10.7B-v6,74.31,71.16,88.5,66.31,71.96,83.43,64.52,instruction-tuned,LlamaForCausalLM,Original,float16,True,mit,10.73,0.0,True,8953a705c909ef98fe3b0ea524c5816a57f1954c,False,False
⭕,jeonsworld/CarbonVillain-en-10.7B-v5,74.31,71.16,88.51,66.44,71.97,83.35,64.44,instruction-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-sa-4.0,10.73,0.0,True,941b5a690781dd412eb435446b65e92048992abe,True,False
🔶,kodonho/SolarM-SakuraSolar-SLERP,74.29,71.16,88.47,66.24,72.1,83.11,64.67,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,10.73,0.0,True,c54dbc0da9e028cfaf92114206c6b84c0198d2b0,False,False
⭕,kekmodel/StopCarbon-10.7B-v4,74.29,71.25,88.5,66.24,71.89,83.43,64.44,instruction-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-sa-4.0,10.73,0.0,True,c8d98bb8c6b23b3c3b7462df7eb02a3b05622612,False,False
🟢,gagan3012/MetaModel_moe,74.28,71.08,88.39,66.31,71.82,83.5,64.59,pretrained,MixtralForCausalLM,Original,bfloat16,True,apache-2.0,36.1,0.0,True,015dae67b68e6e5007b7b13a448886eb5f6bfea8,True,True
⭕,jeonsworld/CarbonVillain-en-10.7B-v1,74.28,71.25,88.46,66.42,71.98,83.27,64.29,instruction-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-4.0,10.73,1.0,True,a797e7e81f7929a31ca232858318d72b93b6abe0,False,False
⭕,jeonsworld/CarbonVillain-en-13B-v1,74.28,71.25,88.46,66.42,71.98,83.27,64.29,instruction-tuned,Unknown,Original,float16,False,?,10.73,0.0,True,a797e7e81f7929a31ca232858318d72b93b6abe0,False,False
🔶,DopeorNope/SOLARC-MOE-10.7Bx4,74.27,70.99,88.43,66.34,71.91,83.58,64.37,fine-tuned,MixtralForCausalLM,Original,float16,True,cc-by-nc-sa-4.0,36.1,7.0,True,07cee5a25fd8d85486f888893d5bee532e5f5cd8,True,True
⭕,bhavinjawade/SOLAR-10B-OrcaDPO-Jawade,74.27,71.16,88.27,66.12,71.57,83.66,64.82,instruction-tuned,LlamaForCausalLM,Original,float16,False,mit,10.73,3.0,True,02a497125bbf85fe0355eb22424315c920d1aec4,False,False
🔶,Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct-test,74.26,70.9,88.3,66.15,71.8,83.74,64.67,fine-tuned,Unknown,Original,bfloat16,False,,10.73,0.0,False,ae0cab05b071dcde2e89e80ab511fa1bc0f53f1c,False,False
🟦,Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct,74.26,70.9,88.3,66.15,71.8,83.74,64.67,RL-tuned,LlamaForCausalLM,Original,bfloat16,True,cc-by-nc-4.0,10.73,20.0,True,564c02554a8b1f91c0860096bdb830dc15ac7805,False,False
🔶,AA051610/testtest,74.24,70.82,84.88,76.66,69.9,82.08,61.11,fine-tuned,Unknown,Original,bfloat16,False,,34.39,0.0,False,e9be60931d3abdf3b08a55f13e4c7586918b2be8,False,False
🔶,gagan3012/MetaModelv2,74.24,71.08,88.56,66.29,71.94,83.11,64.44,fine-tuned,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,10.73,0.0,True,2cb9c69984ee3e5506f055238fd1aa5fe4ea91bd,True,False
🔶,naseerfaheem/SOLAR-10.7B-Instruct-ties,74.21,70.9,88.58,66.34,71.88,83.5,64.06,fine-tuned,LlamaForCausalLM,Original,float16,True,apache-2.0,10.73,0.0,False,333fbc56f7406a47435ad9afbde01c4f8116287e,False,False
⭕,kekmodel/StopCarbon-10.7B-v2,74.21,71.08,88.6,66.23,72.01,83.5,63.84,instruction-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-4.0,10.73,0.0,True,7b49c998e2a32006e27d3e826d19240ed6bdd697,False,False
🔶,VAGOsolutions/SauerkrautLM-SOLAR-Instruct,74.21,70.82,88.63,66.2,71.95,83.5,64.14,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,10.73,37.0,True,8b9615124a0bcadd7fa984eaadd066da0fb4fbae,False,False
🔶,dfurman/GarrulusMarcoro-7B-v0.1,74.2,72.35,88.0,64.65,67.05,87.21,65.96,fine-tuned,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,3.0,True,c53e0d67f4684a46d35ded045c21e19e380f5e91,True,False
⭕,kekmodel/StopCarbon-10.7B-v1,74.2,70.9,88.41,66.32,71.71,83.74,64.14,instruction-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-4.0,10.73,0.0,True,a1681ef65f3d06b421969199ae07b8d32feecf9a,False,False
🟦,upstage/SOLAR-10.7B-Instruct-v1.0,74.2,71.08,88.16,66.21,71.43,83.58,64.75,RL-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,10.73,459.0,True,d3167df97a44b8632538b32ee8cd887893ea1435,False,False
🔶,fblgit/UNA-SOLAR-10.7B-Instruct-v1.0,74.2,70.56,88.18,66.08,72.05,83.66,64.67,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-nd-4.0,10.73,12.0,True,08d3f07da7160e9657630ba98531850905619def,False,False
🟦,bhavinjawade/SOLAR-10B-Nector-DPO-Jawade,74.19,71.33,88.62,66.22,70.92,83.43,64.59,RL-tuned,LlamaForCausalLM,Original,float16,False,mit,10.73,0.0,True,669f8f726fac4a588ced06a4da3959eb8ca20f9f,False,False
🔶,shadowml/Mixolar-4x7b,74.18,71.08,88.44,66.29,71.81,83.58,63.91,fine-tuned,MixtralForCausalLM,Original,float16,True,apache-2.0,36.1,2.0,True,5a1b8a9c8df923c7c0e38fe9e534f73968603030,False,True
🟦,GreenNode/GreenNodeLM-7B-v4leo,74.18,71.25,88.24,65.01,69.65,82.32,68.61,RL-tuned,Unknown,Original,float16,False,?,7.24,0.0,True,9286f6fac1df497203e110070322c93dab33fdd2,True,False
🔶,fblgit/una-xaberius-34b-v1beta,74.18,70.39,86.77,78.15,61.45,84.93,63.38,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-nd-4.0,34.39,80.0,True,233b63015f389d0023cfa21727632b340cadbdb5,True,False
🟦,kyujinpy/Sakura-SOLRCA-Math-Instruct-DPO-v2,74.17,71.25,88.52,66.13,72.16,83.03,63.91,RL-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-sa-4.0,10.73,3.0,True,c994171eefa80df644e31ac01c1ee2d9e5546d99,True,False
🟦,kyujinpy/Sakura-SOLAR-Instruct-DPO-v2,74.14,70.9,88.41,66.48,71.86,83.43,63.76,RL-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-sa-4.0,10.73,2.0,True,7f45a1ed9ca0f88b9ec23aa9b6202e8783ab35ac,True,False
🟦,kyujinpy/Sakura-SOLRCA-Math-Instruct-DPO-v1,74.13,71.25,88.48,66.21,72.12,82.87,63.84,RL-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-sa-4.0,10.73,0.0,True,60e68b717f30144757b2e51d1db879c0c628f128,True,False
🟦,mlabonne/NeuralDaredevil-7B,74.12,69.88,87.62,65.12,66.85,82.08,73.16,RL-tuned,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,6.0,True,f03ff71ca0b07edccda0d2f407049dcf18edfb4d,False,False
🟦,dhanushreddy29/BrokenKeyboard,74.08,71.25,88.34,66.04,71.36,83.19,64.29,RL-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,10.73,2.0,True,c03dfcda5d45ea4c518bd14641d9604726e00477,False,False
🔶,brucethemoose/SUS-Bagel-200K-DARE-Test,74.07,68.09,85.38,76.98,61.2,83.5,69.29,fine-tuned,LlamaForCausalLM,Original,bfloat16,True,other,34.39,2.0,True,063c5412143468d6408b6b8122ec925c0baa0add,False,False
🟦,fblgit/UNA-SOLAR-10.7B-Instruct-v1.0,74.07,70.73,88.32,66.1,72.52,83.35,63.38,RL-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-nd-4.0,10.73,12.0,True,c63d06344214886094d7ab6c7fd5692cc59fdf0d,False,False
🔶,fblgit/UNA-POLAR-10.7B-InstructMath-v2,74.07,70.73,88.2,66.03,71.73,82.95,64.75,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-nd-4.0,10.73,3.0,True,b47d17b0df02e38e97f565784bb3cf948b29a6ec,False,False
🔶,Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Slerp,74.06,66.72,84.97,77.0,59.23,83.58,72.86,fine-tuned,LlamaForCausalLM,Original,bfloat16,True,other,34.39,0.0,True,511cc63b3efca6f036fdbbe15f312d0e2b7e5cf5,False,False
🔶,Yhyu13/LMCocktail-10.7B-v1,74.06,70.65,88.13,66.21,71.03,83.35,64.97,fine-tuned,LlamaForCausalLM,Original,float16,True,llama2,10.73,11.0,True,79ec3a42118f0715666b86bacab2688b62e1433b,True,False
🔶,yhyu13/LMCocktail-10.7B-v1,74.06,70.65,88.13,66.21,71.03,83.35,64.97,fine-tuned,Unknown,Original,float16,False,?,10.73,0.0,True,79ec3a42118f0715666b86bacab2688b62e1433b,False,False
🟦,kyujinpy/Sakura-SOLRCA-Instruct-DPO,74.05,71.16,88.49,66.17,72.1,82.95,63.46,RL-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-sa-4.0,10.73,0.0,True,48977e38731685ad9a45eef6ff94d5d6f60471f2,True,False
🔶,fblgit/UNAversal-2x7B-v1,74.05,73.38,87.87,63.49,69.93,82.08,67.55,fine-tuned,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,12.88,3.0,True,514783cefac2b142adb50ee5f61dd724d62910cf,True,True
🔶,fblgit/una-cybertron-7b-v3-OMA,74.01,73.04,87.94,63.44,69.85,82.08,67.7,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,8.0,True,29c9ff0a9f5daa5adc797a34508bcca50205f34f,True,False
⭕,kekmodel/StopCarbon-10.7B-v3,74.01,70.99,88.57,66.13,71.94,83.19,63.23,instruction-tuned,LlamaForCausalLM,Original,float16,True,cc-by-nc-4.0,10.73,0.0,True,4cf314aa78f585376918a1be8b5a246edf9f4e71,False,False
🟦,h2m/mhm-8x7B-FrankenMoE-v1.0,74.01,70.9,87.75,64.7,67.1,82.0,71.57,RL-tuned,MixtralForCausalLM,Original,bfloat16,True,apache-2.0,46.7,0.0,True,5aeee76977588d88d3faca8340c582c82cc598ce,True,True
🔶,zhengr/MixTAO-7Bx2-MoE-DPO,73.94,70.9,87.12,64.72,69.34,81.22,70.36,fine-tuned,MixtralForCausalLM,Original,float16,False,?,12.88,0.0,True,911149cad645ccb189cb403c16bbed98df18dfd6,False,True
